Running job with parameters:
  Data path:          /home/htc/yliu/EntanglementDetection/results/shortcut
  Number of qubtis:   10
  Visibility:         0.3
Initializing the state ...
Converting ...
Beginning the computation ...
   Iteration        Primal    Dual gap    Time (sec)      #It/sec     #Atoms      #LMOs
         394    2.3769e+01    4.4682e+00    7.1195e+04    5.5341e-03       219        227
         396    2.3762e+01    4.4682e+00    7.1820e+04    5.5138e-03       221        228
         398    2.3758e+01    4.4682e+00    7.1820e+04    5.5417e-03       221        229
         400    2.3750e+01    4.4682e+00    7.2398e+04    5.5250e-03       223        231
         402    2.3745e+01    4.4682e+00    7.2757e+04    5.5252e-03       224        231
         404    2.3739e+01    4.4682e+00    7.3060e+04    5.5297e-03       225        233
         406    2.3732e+01    4.4682e+00    7.3595e+04    5.5167e-03       227        234
         408    2.3729e+01    4.4682e+00    7.3595e+04    5.5438e-03       227        235
         410    2.3721e+01    4.4682e+00    7.4143e+04    5.5299e-03       229        237
         412    2.3716e+01    4.4682e+00    7.4449e+04    5.5340e-03       230        237
         414    2.3710e+01    4.4682e+00    7.4785e+04    5.5359e-03       231        239
         416    2.3703e+01    4.4682e+00    7.5425e+04    5.5154e-03       233        240
         418    2.3701e+01    4.4682e+00    7.5425e+04    5.5419e-03       233        241
         420    2.3693e+01    4.4682e+00    7.6076e+04    5.5208e-03       235        243
         422    2.3688e+01    4.4682e+00    7.6374e+04    5.5254e-03       236        243
         424    2.3683e+01    4.4682e+00    7.6665e+04    5.5306e-03       237        245
         426    2.3676e+01    4.4682e+00    7.7314e+04    5.5100e-03       239        246
         428    2.3673e+01    4.4682e+00    7.7314e+04    5.5359e-03       239        247
         430    2.3666e+01    4.4682e+00    7.7910e+04    5.5192e-03       241        249
         432    2.3662e+01    4.4682e+00    7.8213e+04    5.5234e-03       242        249
         434    2.3657e+01    4.4682e+00    7.8546e+04    5.5254e-03       243        251
         436    2.3650e+01    4.4682e+00    7.9194e+04    5.5055e-03       245        252
         438    2.3648e+01    4.4682e+00    7.9194e+04    5.5307e-03       245        253
         440    2.3641e+01    4.4682e+00    7.9814e+04    5.5128e-03       247        255
         442    2.3636e+01    4.4682e+00    8.0122e+04    5.5166e-03       248        255
         444    2.3631e+01    4.4682e+00    8.0446e+04    5.5192e-03       249        257
         446    2.3625e+01    4.4682e+00    8.1062e+04    5.5019e-03       251        258
         448    2.3623e+01    4.4682e+00    8.1062e+04    5.5266e-03       251        259
         450    2.3616e+01    4.4682e+00    8.1597e+04    5.5149e-03       253        261
         452    2.3612e+01    4.4682e+00    8.1912e+04    5.5181e-03       254        261
         454    2.3607e+01    4.4682e+00    8.2209e+04    5.5225e-03       255        263
         456    2.3601e+01    4.4682e+00    8.2779e+04    5.5087e-03       257        265
         458    2.3597e+01    4.4682e+00    8.3111e+04    5.5107e-03       258        265
         460    2.3592e+01    4.4682e+00    8.3443e+04    5.5127e-03       259        267
         462    2.3587e+01    4.4682e+00    8.4057e+04    5.4963e-03       261        268
         464    2.3584e+01    4.4682e+00    8.4057e+04    5.5201e-03       261        269
         466    2.3578e+01    4.4682e+00    8.4699e+04    5.5018e-03       263        271
         468    2.3573e+01    4.4682e+00    8.5277e+04    5.4880e-03       265        272
         470    2.3569e+01    4.4682e+00    8.5277e+04    5.5114e-03       265        273
         472    2.3536e+01    4.4682e+00    8.6047e+04    5.4854e-03       267        275
         474    2.3530e+01    4.4682e+00    8.6552e+04    5.4765e-03       269        277
         476    2.3525e+01    2.1511e+00    8.7161e+04    5.4612e-03       271        279
         476    2.3525e+01    2.1511e+00    8.7455e+04    5.4428e-03       271        279
        Last    2.3525e+01    2.1511e+00    8.7455e+04    5.4428e-03       271        279
not confirmed by witness
